Date,SET,Value,Modern,Internet,2D
1/2/2025,1381.25,20307.62,66,60,57
1/2/2025,1379.85,36852.83,32,11,52
1/3/2025,1383.92,15125.42,84,69,25
1/3/2025,1384.76,29604.22,67,24,64
1/6/2025,1379.07,20539.78,17,37,79
1/6/2025,1372.65,37212.83,78,64,52
1/7/2025,1384.55,17949.48,51,67,59
1/7/2025,1390.88,39006.62,67,62,86
1/8/2025,1391.38,15994.84,26,66,84
1/8/2025,1387.72,35326.19,31,08,26
1/9/2025,1372.61,22595.17,08,47,15
1/9/2025,1362.97,46868.24,98,40,78
1/10/2025,1362.62,22211.98,06,78,21
1/10/2025,1367.99,42718.70,09,61,98
1/13/2025,1357.06,20625.46,33,62,65
1/13/2025,1354.34,42966.31,62,42,46
1/14/2025,1349.82,32094.64,89,88,24
1/14/2025,1340.25,56434.55,42,07,54
1/15/2025,1342.93,20231.16,27,48,31
1/15/2025,1353.17,44216.57,88,69,76
1/16/2025,1348.55,20269.57,31,86,59
1/16/2025,1352.56,40377.07,44,39,67
1/17/2025,1350.58,16593.16,90,93,83
1/17/2025,1340.63,37538.15,42,57,38
1/20/2025,1342.34,13695.36,84,90,45
1/20/2025,1340.50,25982.06,38,14,02
1/21/2025,1355.00,19622.25,72,05,02
1/21/2025,1352.53,38004.05,31,48,34
1/22/2025,1359.68,21212.71,94,81,82
1/22/2025,1361.77,43896.02,52,45,76
1/23/2025,1356.17,16398.82,68,18,78
1/23/2025,1344.17,34420.86,65,58,70
1/24/2025,1347.06,15180.18,72,81,60
1/24/2025,1354.07,30792.25,16,07,72
1/27/2025,1349.09,15125.32,53,40,95
1/27/2025,1340.94,30685.23,29,15,45
1/28/2025,1338.13,17236.21,01,58,36
1/28/2025,1345.77,36715.88,67,70,75
1/29/2025,1342.96,14932.46,95,96,62
1/29/2025,1343.19,27349.69,31,24,99
1/30/2025,1335.29,16729.73,39,39,99
1/30/2025,1335.64,29535.48,97,90,45
1/31/2025,1324.13,24164.63,96,88,34
1/31/2025,1314.50,53362.68,54,37,02
2/3/2025,1290.04,33365.21,92,53,45
2/3/2025,1304.39,54212.17,78,31,92
2/4/2025,1306.65,20493.76,89,41,53
2/4/2025,1301.02,41678.41,74,95,28
2/5/2025,1289.94,20712.90,60,90,42
2/5/2025,1286.74,42226.09,14,28,46
2/6/2025,1281.73,19235.92,26,61,35
2/6/2025,1262.07,48143.21,75,92,73
2/7/2025,1263.08,25068.16,58,78,88
2/7/2025,1282.09,57593.92,55,41,93
2/10/2025,1272.91,24931.76,54,53,11
2/10/2025,1270.49,43206.59,64,89,96
2/11/2025,1279.35,17955.38,10,92,55
2/11/2025,1283.97,38989.02,33,88,79
2/13/2025,1294.85,26933.40,88,37,53
2/13/2025,1284.11,53123.74,54,21,13
2/14/2025,1281.75,19469.26,66,99,59
2/14/2025,1272.10,50036.21,80,99,06
2/17/2025,1248.39,33866.09,46,33,96
2/17/2025,1256.48,56346.06,26,90,86
2/18/2025,1260.85,22746.65,08,98,56
2/18/2025,1257.48,47358.57,74,62,88
2/19/2025,1261.91,26684.55,00,59,14
2/19/2025,1262.27,52617.62,94,99,77
2/20/2025,1255.62,27358.66,67,29,28
2/20/2025,1245.61,56186.43,33,58,16
2/21/2025,1247.47,26501.77,72,70,71
2/21/2025,1246.21,48456.57,59,87,16
2/24/2025,1230.69,22049.20,71,83,99
2/24/2025,1235.85,42206.62,44,85,56
2/25/2025,1217.68,26548.87,70,65,88
2/25/2025,1206.39,50189.15,92,56,99
2/26/2025,1217.06,25252.52,27,61,62
2/26/2025,1231.14,62528.51,89,87,48
2/27/2025,1220.37,32718.95,32,81,78
2/27/2025,1215.73,56035.29,86,84,35
2/28/2025,1195.26,29025.74,84,71,65
2/28/2025,1203.72,74436.98,45,21,26
3/3/2025,1193.83,23463.47,98,14,33
3/3/2025,1188.41,45011.92,29,23,11
3/4/2025,1191.91,18368.26,12,17,18
3/4/2025,1177.64,42016.45,70,29,46
3/5/2025,1190.10,19869.31,83,71,09
3/5/2025,1206.96,50706.03,50,81,66
3/6/2025,1203.60,26132.15,44,70,02
3/6/2025,1189.55,47199.92,79,18,59
3/7/2025,1194.92,18176.08,37,24,26
3/7/2025,1202.03,37805.49,16,60,35
3/10/2025,1187.27,16247.13,01,13,77
3/10/2025,1177.44,34257.69,70,59,47
3/11/2025,1169.99,20005.44,24,70,95
3/11/2025,1187.63,49522.05,48,05,32
3/12/2025,1170.60,20693.96,54,20,03
3/12/2025,1160.06,46281.66,34,02,61
3/13/2025,1162.97,17838.40,24,58,78
3/13/2025,1159.64,32461.80,10,69,41
3/14/2025,1171.44,17922.18,00,67,42
3/14/2025,1173.76,38598.05,93,96,68
3/17/2025,1172.42,20846.17,92,92,26
3/17/2025,1170.20,35904.16,18,07,04
3/18/2025,1178.32,18630.04,58,60,20
3/18/2025,1176.17,39013.98,76,05,73
3/19/2025,1190.86,22661.25,25,61,61
3/19/2025,1189.66,42722.37,18,41,62
3/20/2025,1194.69,19982.29,11,40,92
3/20/2025,1181.71,44627.97,94,12,17
3/21/2025,1183.29,19958.57,42,06,98
3/21/2025,1186.61,47293.40,12,04,13
3/24/2025,1183.72,10383.20,00,16,23
3/24/2025,1190.06,23373.33,27,94,63
3/25/2025,1183.87,16925.17,67,38,75
3/25/2025,1184.93,30766.38,52,18,36
3/26/2025,1191.10,13997.86,65,98,07
3/26/2025,1190.36,26578.82,71,67,68
3/27/2025,1189.17,15064.65,55,90,74
3/27/2025,1187.90,27605.35,27,39,05
3/28/2025,1181.93,14080.95,67,39,30
3/28/2025,,,53,81,
3/31/2025,1158.04,23430.93,95,38,40
3/31/2025,1158.09,40260.73,82,37,90
