Date,Time,SET,Value,2D,Modern,Internet
1/23/2020,12:01PM,1569.63,32765.59,35,84,65
1/23/2020,4:30PM,1573.70,61983.98,03,05,30
1/24/2020,12:01PM,1571.42,23719.24,29,72,74
1/24/2020,4:30PM,1569.55,47514.18,54,89,92
1/27/2020,12:01PM,1523.78,41864.96,84,92,80
1/27/2020,4:30PM,1524.15,69174.18,54,49,24
1/28/2020,12:01PM,1531.53,28092.54,32,97,56
1/28/2020,4:30PM,1513.26,67113.51,63,35,89
1/29/2020,12:01PM,1520.08,28111.36,81,08,42
1/29/2020,4:30PM,1524.59,64211.39,91,32,00
1/30/2020,12:01PM,1519.43,24253.62,33,54,68
1/30/2020,4:30PM,1523.99,53752.96,92,36,46
1/31/2020,12:01PM,1521.51,25824.18,14,95,95
1/31/2020,4:30PM,1514.14,56329.59,49,19,13
2/3/2020,12:01PM,1509.65,27139.52,59,81,86
2/3/2020,4:30PM,1496.06,53178.96,68,61,77
2/4/2020,12:01PM,1508.47,24486.30,76,35,45
2/4/2020,4:30PM,1519.38,58698.59,88,49,49
2/5/2020,12:01PM,1523.74,30201.82,41,95,74
2/5/2020,4:30PM,1534.14,67458.22,48,31,69
2/6/2020,12:01PM,1537.94,33675.78,45,73,96
2/6/2020,4:30PM,1535.79,69363.97,93,25,69
2/7/2020,12:01PM,1534.02,27935.61,25,38,73
2/7/2020,4:30PM,1535.24,60509.84,49,24,90
2/10/2020,12:01PM,,,,,
2//10/2020,4:30PM,1535.24,60509.84,49,,
2/11/2020,12:01PM,1531.95,25170.36,50,16,38
2/11/2020,4:30PM,1523.93,52619.14,39,87,08
2/12/2020,12:01PM,1534.47,25515.94,75,84,97
2/12/2020,4:30PM,1539.84,54814.18,44,87,15
2/13/2020,12:01PM,1537.04,23187.01,47,84,17
2/13/2020,4:30PM,1532.77,46419.92,79,73,68
2/14/2020,12:01PM,1539.78,27568.48,88,59,64
2/14/2020,4:30PM,1526.30,61837.84,07,20,13
2/17/2020,12:01PM,1530.61,26008.68,18,90,89
2/17/2020,4:30PM,1527.25,52494.10,54,75,70
2/18/2020,12:01PM,,,,,
2/18/2020,4:30PM,1513.68,49275.59,85,75,79
2/19/2020,12:01PM,,,,,
2/19/2020,4:30PM,1505.54,68726.32,46,11,37
2/20/2020,12:01PM,,,,,
2/20/2020,4:30PM,1491.24,75546.15,46,81,87
2/21/2020,12:01PM,,,,,
2/21/2020,4:30PM,1495.09,56082.23,92,26,90
2/24/2020,12:01PM,,,,,
2/24/2020,4:30PM,1435.56,76431.30,61,35,33
2/25/2020,12:01PM,,,,,
2/25/2020,4:30PM,1439.10,80966.05,06,94,90
2/26/2020,12:01PM,,,,,
2/26/2020,4:30PM,1366.41,93189.41,19,19,83
2/27/2020,12:01PM,,,,,
2/27/2020,4:30PM,1395.08,74552.75,82,,77
2/28/2020,12:01PM,,,,,
2/28/2020,4:30PM,1340.52,86502.15,22,03,42
3/2/2020,12:01PM,,,,,
3/2/2020,4:30PM,1335.72,74368.85,28,59,59
3/3/2020,12:01PM,,,,,
3/3/2020,4:30PM,1375.02,70048.53,28,25,80
3/4/2020,12:01PM,,,,,
3/4/2020,4:30PM,1378.61,58586.96,16,46,12
3/5/2020,12:01PM,,,,,
3/5/2020,4:30PM,1390.83,66807.39,37,82,87
3/6/2020,12:01PM,,,,,
3/6/2020,4:30PM,1364.57,52201.99,71,20,89
3/9/2020,12:01PM,,,,,
3/9/2020,4:30PM,1255.94,103623.75,43,80,16
3/10/2020,12:01PM,,,,,
3/10/2020,4:30PM,1271.25,74686.23,56,73,36
3/11/2020,12:01PM,,,,,
3/11/2020,4:30PM,1249.89,72236.43,96,40,73
3/12/2020,12:01PM,,,,,
3/12/2020,4:30PM,1114.91,101652.04,12,50,43
3/13/2020,12:01PM,,,,,
3/13/2020,4:30PM,1128.91,119659.78,19,,84
3/16/2020,12:01PM,,,,,
3/16/2020,4:30PM,1046.08,68179.26,89,85,59
3/17/2020,12:01PM,,,,,
3/17/2020,4:30PM,1035.17,67129.99,79,77,64
3/18/2020,12:01PM,,,,,
3/18/2020,4:30PM,1048.15,59186.45,56,29,79
3/19/2020,12:01PM,,,,,
3/19/2020,4:30PM,1044.19,61601.05,91,87,22
3/20/2020,12:01PM,,,,,
3/20/2020,4:30PM,1127.24,93035.28,45,48,43
3/23/2020,12:01PM,1046.95,34783.98,53,41,53
3/23/2020,4:30PM,1024.46,59677.79,67,63,90
3/24/2020,12:01PM,1039.30,33922.14,02,34,37
